"Gene.stable.ID"	"location_sortable"	"GNF"	"Mabbott"	"Doig"	"Freeman2012_pig"	"SkinSig_3study"
"ENSG00000099785"	"19p13.2"	NA	NA	NA	NA	NA
"ENSG00000099795"	"19p13.12"	"[265"	NA	NA	NA	NA
"ENSG00000099797"	"19p13.12"	NA	"High in T cells/neutrophils"	NA	NA	NA
"ENSG00000099800"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000099804"	"19p13.3"	NA	NA	NA	"Skeletal muscle>heart"	"Keratinocyte"
"ENSG00000099810"	"09p21"	"[160"	NA	NA	"Cluster0149"	NA
"ENSG00000099812"	"19p13.3"	NA	"High in epithelial cells:low in keratinocytes"	NA	NA	NA
"ENSG00000099814"	"14q32.33"	"High_in_CNS"	NA	NA	NA	NA
"ENSG00000099817"	"19p13.3"	"General_HK"	NA	"Cell cycle related?"	NA	NA
"ENSG00000099821"	"19p13.3"	NA	NA	"Cell cycle related?"	"HK1"	NA
"ENSG00000099822"	"19p13"	NA	"Low in tissue stem cells"	NA	NA	NA
"ENSG00000099834"	"11p15.5"	"High_in_Liver"	"Hepatocyte-related"	"[134"	NA	NA
"ENSG00000099840"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000099849"	"11p15.5"	NA	NA	NA	NA	NA
"ENSG00000099860"	"19p13.3"	"High_in_Lung"	NA	NA	NA	NA
"ENSG00000099864"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000099866"	"19p13.3"	NA	NA	NA	"Spleen>>lymph node"	NA
"ENSG00000099869"	"11p15.5"	NA	"Low in tissue stem cells"	NA	NA	NA
"ENSG00000099875"	"19p13.3"	NA	NA	NA	NA	NA
"ENSG00000099889"	"22q11.21"	NA	"Low in many"	"HK"	"Cluster0180"	NA
"ENSG00000099899"	"22q11.21"	NA	NA	NA	"Cluster0185"	NA
"ENSG00000099901"	"22q11.21"	"Cell_cycle_(S/M_phase)"	"High in many"	"Cell cycle (G1/S phase)"	NA	NA
"ENSG00000099904"	"22q11.21"	NA	NA	NA	NA	NA
"ENSG00000099910"	"22q11.21"	NA	NA	NA	NA	NA
"ENSG00000099917"	"22q11.2"	NA	NA	NA	"Blood>macs>spleen (immune)"	NA
"ENSG00000099937"	"22q11.21"	"High_in_Liver"	"Hepatocyte-related"	NA	"Liver (hepatocyte)"	NA
"ENSG00000099940"	"22q11.21"	"High_in_Testis"	NA	NA	"Cluster0232"	NA
"ENSG00000099942"	"22q11.21"	NA	NA	"Cell cycle related?"	NA	NA
"ENSG00000099949"	"22q11.21"	NA	NA	NA	"Cluster1781"	NA
"ENSG00000099953"	"22q11.23"	NA	"Low in tissue stem cells"	"HK"	NA	NA
"ENSG00000099954"	"22q11.2"	NA	"High in ES/iPS cells"	NA	NA	"Ductal epithelium (sebaceous gland)"
"ENSG00000099956"	"22q11.23"	NA	NA	NA	"Cluster1831"	NA
"ENSG00000099957"	"22q11.21"	NA	NA	"[041"	NA	NA
"ENSG00000099958"	"22q11.23"	NA	"High in plasmacytoid DC: Low in tissue DC|High in plasma B cells: B cells"	"[541"	NA	NA
"ENSG00000099960"	"22q11.21"	NA	NA	NA	"Placenta"	NA
"ENSG00000099968"	"22q11"	NA	"High in LPS/IFNg-treated neutrophils"	NA	NA	NA
"ENSG00000099974"	"22q11.23"	NA	NA	NA	NA	NA
"ENSG00000099977"	"22q11.23"	NA	NA	NA	NA	NA
"ENSG00000099984"	"22q11.23"	NA	"High in keratinocytes:epithelium"	NA	NA	NA
"ENSG00000099985"	"22q12.2"	NA	"High in neutrophils"	NA	NA	NA
"ENSG00000099991"	"22q11.23"	NA	NA	NA	"HK1"	NA
"ENSG00000099992"	"22q12.2"	NA	NA	NA	NA	NA
"ENSG00000099994"	"22q11-q12"	NA	NA	NA	NA	NA
"ENSG00000099995"	"22q12.2"	"[185"	"[0367"	NA	"Cluster1123"	NA
"ENSG00000099998"	"22q11.23"	NA	NA	"Endothelium"	NA	NA
"ENSG00000099999"	"22q12.2"	NA	"Low in many"	"HK"	NA	NA
"ENSG00000100003"	"22q12.2"	NA	NA	NA	"Liver (hepatocyte)"	NA
"ENSG00000100012"	"22q12.2"	NA	"High in bronchial epithelium"	NA	"Liver (hepatocyte)"	NA
"ENSG00000100014"	"22q11.23"	NA	"[0164"	NA	NA	NA
"ENSG00000100023"	"22q11.21"	"High_in_foetal_brain"	"High in CD8+ T cells: NK cells"	"[576"	NA	NA
"ENSG00000100024"	"22q11.2"	"High_in_Liver"	NA	"HK"	"Liver>kidney"	"Ductal epithelium (sebaceous gland)"
"ENSG00000100027"	"22q11.2"	"High_in_Testis"	"[0273"	NA	"Testis-adult"	NA
"ENSG00000100028"	"22q11.23"	"General_HK_(ribosone,proteasome, etc)"	NA	"[263"	NA	NA
"ENSG00000100029"	"22q12.1"	"General_HK_(ribosone,proteasome, etc)"	"High in stimulated MDM"	"[263"	NA	NA
"ENSG00000100030"	"22q11.2"	"High_in_CNS"	NA	"HK"	NA	NA
"ENSG00000100031"	"22q11.23"	"[159"	NA	"[199"	NA	NA
"ENSG00000100033"	"22q11.2"	NA	NA	NA	NA	NA
"ENSG00000100034"	"22q11.22"	NA	NA	NA	NA	NA
"ENSG00000100036"	"22q12.2"	NA	NA	NA	NA	NA
"ENSG00000100038"	"22q11.22"	NA	NA	"[607"	NA	NA
"ENSG00000100053"	"22q11.23"	NA	NA	"HK"	"Cornea"	NA
"ENSG00000100055"	"22q12.3-q13.1"	NA	NA	"Macrophage"	"Blood>macs>spleen (immune)"	"Macrophage / DC"
"ENSG00000100056"	"22q11.21"	NA	NA	NA	NA	NA
"ENSG00000100058"	"22q11.2-q12.1"	NA	NA	NA	NA	NA
"ENSG00000100060"	"22q13.1"	NA	NA	NA	"Blood>>macs-other immune"	NA
"ENSG00000100065"	"22q13.1"	NA	"Low in many"	"HK"	"Cluster1760"	NA
"ENSG00000100068"	"22q11.23"	NA	NA	NA	NA	NA
"ENSG00000100075"	"22q11"	"High_in_Liver"	NA	NA	NA	NA
"ENSG00000100077"	"22q11"	NA	NA	NA	"Cluster0367"	NA
"ENSG00000100078"	"22q12.2"	"High_in_Skeletal_muscle"	"High in keratinocytes:epithelium"	NA	"Cluster0229"	NA
"ENSG00000100079"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100083"	"22q13.31"	"High_in_Testis"	NA	NA	"Cluster1780"	NA
"ENSG00000100084"	"22q11.2"	NA	NA	NA	"Cluster0777"	NA
"ENSG00000100092"	"22q13.1"	NA	NA	"HK"	NA	NA
"ENSG00000100095"	"22q12.1"	"High_in_CNS"	"[0258"	NA	"CNS-highest in cortex"	NA
"ENSG00000100097"	"22q13.1"	"High_in_Smooth/cardiac_musle"	"[0171"	"ECM"	NA	NA
"ENSG00000100099"	"22q12.1"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000100100"	"22q12.2"	NA	"High in T cells:NK cells:B cells|High in CD4+ T cells"	NA	NA	NA
"ENSG00000100101"	"22q13.1"	NA	"High in LPS/IFNg-treated neutrophils"	NA	"Macs-other immune"	NA
"ENSG00000100104"	"22q12.1"	NA	NA	NA	NA	NA
"ENSG00000100105"	"22q12.2"	NA	"[0111"	"[126"	NA	NA
"ENSG00000100106"	"22q13.1"	"[134"	NA	NA	NA	NA
"ENSG00000100109"	"22q12.1"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000100116"	"22q13.1"	"General_Higher_in_Liver(others)|High_in_Liver"	NA	NA	NA	NA
"ENSG00000100121"	"22q11.21"	NA	NA	NA	NA	NA
"ENSG00000100122"	"22q12.1"	NA	NA	NA	"Cornea"	NA
"ENSG00000100124"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100129"	"22q"	"General_HK_(ribosone,proteasome, etc)"	"Ribosome, eukaryotic translation"	"[149"	NA	NA
"ENSG00000100139"	"22q13.1"	"Cornified_epithelium_(Brochial_epthelium/tongue)"	"High in keratinocytes:epithelium"	NA	NA	NA
"ENSG00000100142"	"22q13.1"	"High_in_Cardiac_muscle"	NA	NA	NA	NA
"ENSG00000100146"	"22q13.1"	"High_in_CNS"	"High in Schwann cells"	"[018"	"Sinal cord high"	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000100147"	"22q13.2"	NA	NA	NA	NA	NA
"ENSG00000100150"	"22q12.3"	NA	NA	NA	NA	NA
"ENSG00000100151"	"22q13.1"	NA	NA	"HK"	NA	NA
"ENSG00000100154"	"22q12.1"	NA	NA	NA	NA	NA
"ENSG00000100156"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100162"	"22q13.2"	"Cell_cycle_(S/M_phase)"	"Cell cycle (S/M phase)"	"Cell cycle (G1/S phase)"	"Cluster0168"	NA
"ENSG00000100167"	"22q13.2"	NA	"High in some ES cells"	NA	"Cerebellum>>other CNS"	NA
"ENSG00000100170"	"22q12.3"	NA	"High in keratinocytes:epithelium"	NA	"Small instetine>>kidney-liver"	"Keratinocyte"
"ENSG00000100181"	"22q11.1"	NA	"Low in many|High in platelets"	NA	NA	NA
"ENSG00000100191"	"22q12.3"	NA	NA	NA	"Small instetine>>kidney-liver"	NA
"ENSG00000100196"	"22q13"	"High_in_Smooth/cardiac_musle"	"High in mesenchymal cells|Extracellular matrix"	"[499"	"Cluster1051"	"Fibroblast"
"ENSG00000100197"	"22q13.1"	"High_in_Liver"	"Hepatocyte-related"	"HK"	"Liver (hepatocyte)"	NA
"ENSG00000100201"	"22q13.1"	"General_splicing?"	NA	NA	"Cluster1125"	NA
"ENSG00000100206"	"22q13.1"	NA	NA	"HK specific cluster"	"Testis>alveolar mac"	NA
"ENSG00000100207"	"22q13.3"	NA	NA	NA	"Cluster0123"	NA
"ENSG00000100209"	"22q12.1"	NA	NA	NA	NA	NA
"ENSG00000100211"	"22q12"	NA	NA	NA	NA	NA
"ENSG00000100216"	"22q13.1"	NA	"[0133"	NA	NA	NA
"ENSG00000100219"	"22q12.1"	NA	NA	NA	"Cluster0502"	NA
"ENSG00000100220"	"22q12.3"	NA	NA	NA	NA	NA
"ENSG00000100221"	"22q13.1"	NA	"High in LPS/IFNg-treated neutrophils"	NA	NA	NA
"ENSG00000100225"	"22q12.3"	"High_in_bone_marrow"	NA	NA	"Thyroid gland"	NA
"ENSG00000100226"	"22q13.1"	NA	NA	"HK"	NA	NA
"ENSG00000100227"	"22q13.31"	NA	NA	"HK"	NA	NA
"ENSG00000100228"	"22q11.22"	NA	NA	NA	"Fallopian tube>adult testis"	NA
"ENSG00000100234"	"22q12.3"	"High_in_Placenta>Pituatary"	NA	"[546"	"Testis-adult"	NA
"ENSG00000100239"	"22q13.33"	NA	NA	NA	NA	NA
"ENSG00000100241"	"22q13.33"	NA	"High in NK cells"	"[522"	"Blood>>macs-other immune"	NA
"ENSG00000100242"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100243"	"22q13.2"	"[140"	"[0278"	NA	NA	NA
"ENSG00000100246"	"22q13.1"	"[105"	"Oocyte-related"	NA	NA	NA
"ENSG00000100249"	"22q12.1"	NA	"Spermatocyte-related"	NA	NA	NA
"ENSG00000100253"	"22q13.3"	NA	NA	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000100258"	"22q13.33"	NA	NA	NA	NA	NA
"ENSG00000100263"	"22q12.2"	NA	NA	"HK"	NA	NA
"ENSG00000100266"	"22q13.2-q13.33"	NA	NA	NA	NA	NA
"ENSG00000100271"	"22q13.1"	NA	NA	NA	"HK1"	NA
"ENSG00000100276"	"22q12.2"	"High_in_CNS"	"High in stimulated MDM"	NA	NA	NA
"ENSG00000100280"	"22q12.2"	NA	"High in stimulated MDM: MDDC"	NA	"Cluster0699"	NA
"ENSG00000100281"	"22q13"	NA	"High in ES/iPS cells"	NA	"Cluster0638"	NA
"ENSG00000100284"	"22q13.1"	NA	"[0314"	NA	"HK3"	NA
"ENSG00000100285"	"22q12.2"	"[208"	NA	NA	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000100288"	"22q13.33"	NA	NA	NA	NA	NA
"ENSG00000100290"	"22q13.31"	NA	NA	NA	"HK1"	NA
"ENSG00000100292"	"22q12"	NA	NA	NA	"Macs-other immune"	"Keratinocyte"
"ENSG00000100294"	"22q13.2"	NA	NA	NA	"HK1"	NA
"ENSG00000100296"	"22q12"	NA	"Low in LPS/IFNg-treated neutrophils"	"[263"	"Cluster0254"	NA
"ENSG00000100297"	"22q13.1-q13.2"	"High_in_thymus/lymph_node_(T-cell)"	NA	"Cell cycle (G1/S phase)"	"Many (cell cycle)"	NA
"ENSG00000100298"	"22q13.1"	NA	NA	NA	"Alveloar macs>>other macs"	NA
"ENSG00000100299"	"22q13.33"	NA	NA	NA	NA	NA
"ENSG00000100300"	"22q13.3"	NA	NA	NA	"Cluster0242"	NA
"ENSG00000100302"	"22q13.1"	NA	NA	NA	NA	"Ductal epithelium (sweat gland, eccrine)"
"ENSG00000100304"	"22q13.31"	NA	NA	NA	NA	NA
"ENSG00000100307"	"22q13.1"	"High_in_CNS"	NA	NA	"HK1"	NA
"ENSG00000100311"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100312"	"22q13.33"	NA	NA	"[377"	"Testis-adult"	NA
"ENSG00000100314"	"22q12.2"	NA	"High in endothelium"	NA	NA	NA
"ENSG00000100316"	"22q13"	"General_HK_(ribosone,proteasome, etc)"	"Ribosome, eukaryotic translation"	"[149"	"General high (Ribosomal)"	NA
"ENSG00000100319"	"22q12.2"	NA	NA	NA	NA	NA
"ENSG00000100320"	"22q12-q13"	"High_in_foetal_brain"	NA	NA	"Cluster0435"	NA
"ENSG00000100321"	"22q13"	NA	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000100324"	"22q13.1"	NA	"Low in many"	"HK"	NA	NA
"ENSG00000100325"	"22q12.1"	NA	NA	NA	NA	NA
"ENSG00000100330"	"22q12.2"	NA	"Oocyte-related"	NA	"Liver (hepatocyte)"	NA
"ENSG00000100335"	"22q13.1"	NA	"Spermatocyte-related"	NA	NA	NA
"ENSG00000100336"	"22q11.2-q13.2"	NA	NA	NA	NA	NA
"ENSG00000100341"	"22q13.31"	NA	NA	NA	NA	"Ductal epithelium (sebaceous gland)"
"ENSG00000100342"	"22q13.1"	NA	NA	"Macrophage"	NA	NA
"ENSG00000100344"	"22q13.31"	NA	NA	NA	NA	NA
"ENSG00000100345"	"22q13.1"	NA	NA	"[042"	"Cluster1147"	NA
"ENSG00000100346"	"22q13.1"	NA	"High in T cells:NK cells:B cells|Low in many"	"HK"	"CNS-highest in cortex"	NA
"ENSG00000100347"	"22q13.31"	"General_HK_(ribosone,proteasome, etc)"	NA	NA	"General (oxidative phosphorylation)"	"Ductal epithelium (sebaceous gland)"
"ENSG00000100348"	"22q13.1"	NA	NA	NA	NA	NA
"ENSG00000100350"	"22q12.3"	NA	NA	NA	NA	NA
"ENSG00000100351"	"22q13.2"	NA	NA	NA	"Thymus>Blood>slpeen (T cell)"	NA
"ENSG00000100353"	"22q13.1"	NA	NA	"[226"	"Cluster0305"	NA
"ENSG00000100354"	"22q13"	NA	NA	NA	"Cluster0807"	NA
"ENSG00000100359"	"22q13.1-q13.2"	NA	NA	NA	"Cluster0273"	NA
"ENSG00000100360"	"22q13.1"	NA	"High in fibroblast-derived IPS cells"	NA	NA	NA
"ENSG00000100362"	"22q13.1"	NA	NA	NA	"Cluster1307"	NA
"ENSG00000100364"	"22q13.31"	"[384"	"High in MDM:MDDC"	NA	NA	NA
"ENSG00000100365"	"22q13.1"	"High_in_bone_marrow"	"High in neutrophils:BM"	"T-cell"	"Blood>>macs-other immune"	"Macrophage / DC"
"ENSG00000100368"	"22q12.3"	"High_in_Placenta>Pituatary"	"[0208"	"Macrophage"	"Blood>macs>spleen (immune)"	NA
"ENSG00000100372"	"22q13.2"	NA	NA	NA	NA	NA
"ENSG00000100373"	"22q13.31"	NA	NA	NA	"Ureter>bladder"	NA
"ENSG00000100376"	"22q13.3"	NA	NA	NA	NA	NA
"ENSG00000100379"	"22q12.3"	NA	"Low in many"	"HK"	NA	NA
"ENSG00000100380"	"22q13.2"	NA	NA	NA	NA	NA
"ENSG00000100385"	"22q13"	NA	"High in T cells/NK cells: NK cell-mediated cytotoxicity"	"T-cell"	NA	NA
"ENSG00000100387"	"22q13.2"	NA	NA	"[226"	NA	NA
"ENSG00000100393"	"22q13.2"	NA	NA	NA	"Cluster0077"	NA
"ENSG00000100395"	"22q13.31-q13.33"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000100399"	"22q13.2"	NA	NA	NA	"Cluster0084"	NA
"ENSG00000100401"	"22q13"	"Cell_cycle_(S/M_phase)"	NA	NA	"Testis-adult"	NA
"ENSG00000100403"	"22q13.2"	NA	"High in many"	"HK specific cluster"	"HK3"	NA
"ENSG00000100410"	"22q13.2"	NA	"Cell cycle (S/M phase)"	NA	"Cluster0882"	NA
"ENSG00000100412"	"22q13.2"	NA	NA	NA	"General (oxidative phosphorylation)"	NA
"ENSG00000100413"	"22q13"	NA	NA	NA	NA	NA
"ENSG00000100416"	"22q13"	NA	"Cell cycle (S/M phase)"	"Cell cycle (G1/S phase)"	NA	NA
"ENSG00000100417"	"22q13"	NA	NA	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000100418"	"22q13.2"	NA	NA	NA	NA	NA
"ENSG00000100422"	"22q13.31"	NA	NA	NA	"General but not even"	NA
"ENSG00000100425"	"22q13.33"	"[335"	NA	NA	"Testis-macrophage"	NA
"ENSG00000100426"	"22q13.33"	NA	"[0187"	NA	"Cluster1587"	NA
"ENSG00000100427"	"22q13.33"	NA	NA	NA	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000100429"	"22q13.31"	NA	NA	"HK"	"Cluster1245"	NA
"ENSG00000100433"	"14q31"	NA	"High in plasmacytoid DC: Low in tissue DC"	NA	"Cluster1350"	NA
"ENSG00000100439"	"14q11.1"	NA	"High in platelets"	NA	NA	NA
"ENSG00000100441"	"14q11.2"	NA	NA	NA	NA	NA
"ENSG00000100442"	"14q21.2"	"General_HK"	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000100445"	"14q12"	NA	NA	NA	NA	NA
"ENSG00000100448"	"14q12"	"High_in_bone_marrow"	"High in BM progenitors"	NA	"Bone marrow>>blood>BMDM"	"Macrophage / DC"
"ENSG00000100450"	"14q11.2"	"[088"	"High in T cells/NK cells: NK cell-mediated cytotoxicity"	"T-cell"	"Cluster0178"	NA
"ENSG00000100453"	"14q11.2"	NA	NA	NA	"Small instetine>>kidney-liver"	NA
"ENSG00000100461"	"14q11.1"	NA	NA	NA	"Cluster0146"	NA
"ENSG00000100462"	"14q11.2"	"General_HK_(ribosone,proteasome, etc)"	"High in many"	NA	"Cluster0142"	NA
"ENSG00000100473"	"14q11.2-q13"	NA	NA	NA	NA	NA
"ENSG00000100478"	"14q12"	NA	NA	"HK"	"Cluster0088"	NA
"ENSG00000100479"	"14q21-q22"	NA	"Cell cycle (S/M phase)"	"Cell cycle (G1/S phase)"	"Many (cell cycle)"	NA
"ENSG00000100483"	"14q21.3"	NA	"[0130"	NA	NA	NA
"ENSG00000100485"	"14q21"	"[241"	NA	"[040"	"Cluster1049"	NA
"ENSG00000100490"	"14q21.3"	NA	"High in platelets"	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000100503"	"14q21-q22"	NA	NA	NA	"Blood>macs>spleen (immune)"	NA
"ENSG00000100504"	"14q11.2-q24.3"	"Cornified_epithelium_(Brochial_epthelium/tongue)"	"High in neutrophils:BM"	NA	"Cluster0749"	NA
"ENSG00000100505"	"14q21.3"	"High_in_CNS"	"High in some ES cells"	NA	"CNS-highest in cortex"	NA
"ENSG00000100519"	"14q22.1"	"General_HK"	"High in many"	"[475"	NA	NA
"ENSG00000100522"	"14q22.1"	NA	NA	NA	NA	NA
"ENSG00000100523"	"14q21"	NA	"Spermatocyte-related"	NA	"CNS-high in spinal cord (Astrocyte?)"	NA
"ENSG00000100526"	"14q22"	"High_in_Testis"	"Cell cycle (S/M phase)"	"Cell cycle (G1/S phase)"	"Testis>other (Cell cycle related)"	"Cell cycle (S/M phase)"
"ENSG00000100528"	"14q22.1"	NA	"[0164"	"[475"	NA	NA
"ENSG00000100532"	"14q22.2"	"High_in_Testis"	"High in CD8+ T cells: NK cells"	NA	NA	NA
"ENSG00000100554"	"14q23-q24.2"	"[246"	"High in LPS/IFNg-treated neutrophils"	NA	NA	NA
"ENSG00000100557"	"14q22.2"	NA	"Hepatocyte-related"	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000100558"	"14q23.3"	"Cornified_epithelium_(Brochial_epthelium/tongue)"	"Oocyte-related"	NA	"GI tract>>others"	NA
"ENSG00000100564"	"14q24.1"	NA	NA	NA	"Macs-other immune"	NA
"ENSG00000100567"	"14q23"	"General_HK_(ribosone,proteasome, etc)"	"High in LPS/IFNg-treated neutrophils"	NA	"Cluster0790"	NA
"ENSG00000100568"	"14q23.3"	NA	NA	NA	NA	NA
"ENSG00000100575"	"14q23.1"	NA	NA	NA	NA	NA
"ENSG00000100577"	"14q24.3"	NA	NA	NA	"Liver (hepatocyte)"	NA
"ENSG00000100578"	"14q23.1"	NA	NA	NA	"Testis-adult"	NA
"ENSG00000100580"	"14q24.3"	NA	"B cell-related"	NA	NA	NA
"ENSG00000100583"	"14q24.3"	NA	"Low in many|Spermatocyte-related"	NA	NA	NA
"ENSG00000100591"	"14q24.3"	"[158"	"[0106"	"[389"	NA	NA
"ENSG00000100592"	"14q22.3"	"[382"	NA	NA	"CNS-highest in cortex"	NA
"ENSG00000100593"	"14q24.3"	NA	NA	NA	NA	NA
"ENSG00000100596"	"14q24.3"	NA	NA	NA	NA	NA
"ENSG00000100599"	"14q32.13"	"High_in_Lung"	NA	NA	"Blood>macs>spleen (immune)"	NA
"ENSG00000100600"	"14q32.12"	"[272"	"High in stimulated MDM: MDDC"	"Macrophage"	"Cluster0183"	"Macrophage / DC"
"ENSG00000100601"	"14q24"	NA	"Oocyte-related"	NA	NA	NA
"ENSG00000100603"	"14q24.3"	NA	NA	NA	"Cluster0477"	NA
"ENSG00000100604"	"14q32"	"High_in_Pancraetic_islets"	"High in neurones"	NA	"Adrenal gland"	NA
"ENSG00000100605"	"14q32.12"	NA	NA	"HK"	"Thymus>Blood>slpeen (T cell)"	NA
"ENSG00000100612"	"14q23.1"	NA	NA	NA	NA	NA
"ENSG00000100614"	"14q23.1"	NA	"High in platelets"	NA	NA	NA
"ENSG00000100625"	"14q23.1"	NA	NA	NA	NA	NA
"ENSG00000100626"	"14q24.1"	NA	"High in some ES cells"	NA	NA	"Fibroblast"
"ENSG00000100628"	"14q32.12"	NA	NA	NA	"Cluster0377"	"Myocyte (smooth)"
"ENSG00000100629"	"14q31.1"	NA	NA	NA	NA	NA
"ENSG00000100632"	"14q24.1"	"General_HK_(ribosone,proteasome, etc)"	"[0298"	NA	"Cluster0142"	NA
"ENSG00000100644"	"14q23.2"	NA	NA	NA	NA	NA
"ENSG00000100650"	"14q24"	"General_splicing?"	NA	"Cell cycle related?"	NA	NA
"ENSG00000100652"	"14q24.2"	"High_in_Liver"	"Hepatocyte-related"	"HK"	"Liver (hepatocyte)"	NA
"ENSG00000100664"	"14q32.32"	NA	"[0335"	"[520"	"Cluster1308"	NA
"ENSG00000100665"	"14q32.13"	"High_in_Liver"	"Hepatocyte-related"	NA	NA	NA
"ENSG00000100678"	"14q24.1"	NA	"High in platelets"	NA	"Cluster0685"	NA
"ENSG00000100697"	"14q32.13"	NA	"[0130"	NA	"Cluster0456"	NA
"ENSG00000100711"	"14q32.33"	NA	NA	NA	NA	NA
"ENSG00000100714"	"14q24"	"High_in_Liver"	"High in many"	NA	"Cluster1172"	NA
"ENSG00000100721"	"14q32.1"	NA	NA	NA	NA	NA
"ENSG00000100722"	"14q31.3"	"High_in_Testis"	"Spermatocyte-related"	NA	"Cluster0089"	NA
"ENSG00000100726"	"16p13.3"	NA	NA	NA	"Cluster1249"	NA
"ENSG00000100739"	"14q32.1-q32.2"	NA	NA	NA	"Gall bladderr>>>other "	NA
"ENSG00000100744"	"14q32.2"	NA	NA	NA	NA	NA
"ENSG00000100749"	"14q32.2"	NA	"Cell cycle (S/M phase)"	"Cell cycle (G1/S phase)"	"Many (cell cycle)"	NA
"ENSG00000100764"	"14q32.11"	NA	NA	NA	"Cluster0142"	NA
"ENSG00000100767"	"14q24.2"	NA	"Low in tissue stem cells"	NA	"Kidney cortex>medulla-liver"	NA
"ENSG00000100784"	"14q32.11"	NA	NA	NA	NA	NA
"ENSG00000100802"	"14q11.1"	NA	NA	NA	NA	NA
"ENSG00000100804"	"14q11.2"	"General_HK_(ribosone,proteasome, etc)"	NA	NA	NA	NA
"ENSG00000100811"	"14q"	NA	NA	"[573"	"Cluster0071"	NA
"ENSG00000100813"	"14q11.2"	NA	NA	NA	"Cluster1205"	NA
"ENSG00000100814"	"14q11.2"	"General_HK_(ribosone,proteasome, etc)"	"High in ES/iPS cells"	NA	"Cluster0063"	NA
"ENSG00000100815"	"14q32.12"	NA	NA	"[094"	"Testis-adult"	NA
"ENSG00000100823"	"14q11.2"	"[118"	NA	NA	NA	NA
"ENSG00000100836"	"14q11.2"	NA	NA	NA	"Cluster1626"	NA
"ENSG00000100842"	"14q11.2"	NA	NA	NA	NA	NA
"ENSG00000100852"	"14q12"	NA	NA	NA	NA	NA
"ENSG00000100865"	"14q32.33"	NA	NA	NA	NA	NA
"ENSG00000100867"	"14q11.2"	NA	"High in stimulated MDDC"	NA	NA	NA
"ENSG00000100883"	"14q13.2"	NA	NA	NA	"Cluster0167"	NA
"ENSG00000100884"	"14q11.2"	"High_in_CNS"	NA	"HK"	"CNS-highest in cortex"	NA
"ENSG00000100888"	"14q11.2"	NA	NA	NA	"Cluster0441"	NA
"ENSG00000100889"	"14q12"	NA	NA	NA	"Cluster1094"	"Ductal epithelium (sebaceous gland)"
"ENSG00000100890"	"14q13.2"	NA	NA	NA	NA	NA
"ENSG00000100897"	"14q11.2"	"[243"	"High in erythroblasts:BM"	NA	"Cluster0180"	NA
"ENSG00000100902"	"14q13"	NA	NA	NA	"HK2-low in macs"	NA
"ENSG00000100906"	"14q13"	"High_in_Lung"	NA	NA	NA	NA
"ENSG00000100908"	"14q12"	NA	NA	NA	NA	NA
"ENSG00000100911"	"14q11.2"	"General_HK_(ribosone,proteasome, etc)"	"[0173"	"IFN"	"MHC_class1-related"	NA
"ENSG00000100916"	"14q13.1"	NA	NA	NA	"Blood>>macs-other immune"	NA
"ENSG00000100918"	"14q12"	NA	NA	NA	"Testis-adult"	NA
"ENSG00000100926"	"14q11.2"	"General_HK"	NA	NA	NA	NA
"ENSG00000100934"	"14q21.1"	"High_in_Smooth/cardiac_musle"	"High in mesenchymal cells"	NA	NA	NA
"ENSG00000100938"	"14q11.2"	NA	NA	NA	NA	NA
"ENSG00000100941"	"14q21.1"	"General_splicing?|General_HK"	"High in ES/iPS cells"	NA	NA	NA
"ENSG00000100949"	"14q11.2"	NA	NA	NA	"Blood>macs>spleen (immune)"	NA
"ENSG00000100968"	"14q11.2"	NA	NA	NA	NA	NA
"ENSG00000100979"	"20q13.12"	NA	"High in stimulated MDM"	NA	"Adrenal gland>>>overy-placenta-testis"	"Fibroblast"
"ENSG00000100982"	"20q13.12"	NA	"High in NK cells"	NA	NA	NA
"ENSG00000100983"	"20q11.2"	NA	NA	"[458"	NA	NA
"ENSG00000100985"	"20q13.12"	"High_in_bone_marrow"	"High in MDM:low in MDDC"	NA	"Macs-other immune"	NA
"ENSG00000100987"	"20p11.21"	NA	"Low in tissue stem cells"	"HK"	NA	NA
"ENSG00000100991"	"20q11.23"	NA	NA	NA	NA	NA
